Title,PlotSummary
A Song Is Born,"Professor Hobart Frisbee (Danny Kaye) and his fellow academics are writing a musical encyclopedia. They discover that there is some new popular music that is called jazz, swing, boogie woogie or rebop. The professors become entangled in the problems of nightclub singer Honey Swanson (Virginia Mayo) She needs a place to hide out from the police, who want to question her about her gangster boyfriend."
The Phantom of the Opera,"The Opéra Populaire holds a public auction to clear the theatre's vaults. The auction is transported back in time to the year 1870. The Phantom of the Opera locks Christine in her dressing room and reveals himself in her mirror to her before hypnotizing her and taking her to his subterranean lair. Christine flees to the roof with Raoul, who becomes heartbroken then hears them both singing together at masquerade party."
The Dude Goes West,"Daniel Bone is a gunsmith and marksman who travels west. He encounters Liza Crockett on a train, then sees her purse being stolen by a man he disarms. The man turns out to be a notorious outlaw, the Pecos Kid. The two encounter another outlaw, Texas Jack Barton, and a corrupt saloonkeeper, Kiki Kelly."
Sherlock Holmes Faces Death,"Dr. Watson is serving as resident doctor at Musgrave Hall in Northumberland, a stately home which is also used as a hospital for servicemen suffering from shell shock. When Sally Musgrave displays her feelings for one of the wounded American fighter pilots, Captain Pat Vickery, who is currently recovering at the family estate, her brothers Geoffrey and Phillip are quick to show their dismay. Phillip is formally made the new head of the estate the next day with the aid of his sister. But after only one day of ruling the estate, Phillip too is found murdered, lying in the trunk of the car. Holmes and Watson"
Motel Hell,"Farmer Vincent Smith and his younger sister Ida live on a farm with an attached motel, named “Motel Hello” (but the neon ‘O’ flickers) Vincent's renowned smoked meats are actually human flesh. He buries the victims up to their necks in his ""secret garden"", then cuts their vocal cords to prevent them from screaming. Sheriff Bruce, Ida and Vincent's naïve brother, arrives the next morning. Terry becomes attracted to Vincent's honest manner and folksy charm, much to Bruce's dismay, who tries to woo her himself without success. Terry eventually falls in love with Vincent"
The Emperor's New Clothes,"In 1821, Napoleon Bonaparte (Holm) has a plan to escape from exile on the isle of St. Helena. Switching places with lowly French deckhand Eugene Lenormand, Napoleon will make his way to Paris, at which time Eugene will announce the switch, allowing Napoleon to reclaim his throne. Eugene decides he likes living in the relative luxury of Napoleon's exile, and refuses to reveal the switch. Eugene abruptly drops dead of some kind of stomach complaint."
Gulliver's Travels,"Lemuel Gulliver is depressed at his dead-end job in the mail room of a New York City newspaper. He decides to talk to journalist Darcy Silverman and convince her he could write a report about his (false) extensive world ""travels"" Upon arrival in Bermuda, he's caught in a freak storm and the boat is overwhelmed by a waterspout. He washes up unconscious on the shore of Lilliput, where he is immediately confirmed as a ""beast"" by the town's tiny people. He is captured and imprisoned in a cave where he meets another prisoner named Horatio."
Indru Netru Naalai,"In the year 2065, a scientist invents a time machine which sends it back in time to 2015, programming it to return within forty seconds. The time machine is seen by three people in 2015 — Elango (Vishnu), a budding entrepreneur whose ideas are rejected by all and who is struggling to maintain his relationship with his rich girlfriend Anu (Miya)"
Adhe Kangal,"Varun (Kalaiyarasan) is a well known blind chef and the owner of a popular restaurant in Chennai. One night, Deepa (Sshivada) comes in asking for leftover food for homeless. Varun helps her and eventually falls in love with her daily visits. His close friend Sadhana (Janani Iyer) approaches his parents and reveals her intentions of marrying Varun."
Seafood,"Zhang Xiaomei (Jin Ze), is a prostitute living in Beijing. When relationship problems with her boyfriend erupt, she flees to the resort city of Beidaihe and takes a room in a hotel where she contemplates committing suicide. The next morning, she learns that the poet has slit his wrists. She meets Deng Jianguo (Cheng Taisheng), a middle-aged officer who questions her over the poet's death."
Deaf Sam-yong,A deaf farmhand is in love with the landlord's daughter-in-law. The film is based on the story of a farmhand who is deaf and lives in a farmhouse in New York City. It is the first time the farmhand has seen a film featuring a deaf farm hand in the film.
Gumnaam,"Khanna is a wealthy man who hires an assassin to murder the wealthy Sohanlal through a staged car accident. Days later, Asha wins a trip to an island in a lucky draw with six others: Barrister Rakesh, Dharamdas, Kishan, Dr. Acharya, Madhusudan Sharma and Kitty Kelly. They suddenly hear a woman's voice singing an ominous song. Diary reveals that they are all connected to a crime and are responsible for it."
Voices,"The film is about the life of a young couple Robert (David Hemmings) and Claire Williams (Gayle Hunnicutt) Their idyllic existence is turned topsy turvy when their 6-year-old son David (Adam Bridge) dies accidentally by drowning. Claire was deeply traumatized by the loss of David and after numerous suicide attempts due to her mental breakdown, she was finally hospitalized in a mental hospital."
Blind Horizon,"The film begins in rural New Mexico where an unconscious Frank Kavanaugh (Kilmer) is discovered by two local ranch hands. Suffering from a gunshot wound to the head, he is rushed to a nearby hospital in a small town called Black Point. Due to the extent of his injuries, Kavanaugh is placed in an intensive care unit under the care of a trauma nurse named Liz (Amy Smart)"
Because They're Young,A crusading high school teacher tries to help his troubled students. He is a crusading teacher at a high school in New York City. He says he is committed to helping his students and their families. A new video of the teacher's efforts will be shown on CNN iReport.
Arjun Pandit,"Arjun Pandit (Sunny Deol) is madly in love with Nisha (Juhi Chawla), a model, a model. He gets her kidnapped by his men and wants to celebrate her birthday, but she tells him that she does not like him. Nisha challenges Arjun to show his manliness to Sanjay (Shahbaz Khan) and Arjun beats Sanjay black-and-blue in public. Sanjay and his friends attack Arjun and Nisha while they were joyfully spending time together. Arjun fights Sanjay, Nisha throws Arjun a sword which results"
Shalako,"In 1880 in New Mexico, frontier adventurer Bosky Fulton and his men lead a hunting party of European aristocrats and their servants into Apache territory. When a French countess, Irina Lazaar, wanders off, she is attacked by Apache warriors on horseback. She is rescued by Shalako, a former U.S. Cavalry officer with a personal interest in keeping non-Indians off Indian land. Shalako urges the leader of the hunting party, Frederick von Hallstatt, to leave, but he refuses."
Striking Distance,"Tom Hardy, a Pittsburgh Police homicide detective, has broken ranks by informing on his partner and cousin, Jimmy Detillo, for using excessive force. Tom is demoted after telling a reporter that he believed the Polish Hill Strangler was a policeman. Two years later, Tom is drinking heavily and has been reassigned to the River Rescue Squad. His cousin Danny, Jimmy's brother, has stepped down from the force and also drinks heavily."
